epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4445,0.80469,3.31869,1.17014,0.58319,0.65079,0.65707,0.54123,0.67128,1.67439,1.05208,0.000206944,0.000206944,0.000206944
2,45.5067,0.7597,1.41609,1.09024,0.55038,0.60786,0.65363,0.54004,0.64705,1.55025,1.0508,0.000412537,0.000412537,0.000412537
3,66.6685,0.75749,1.2269,1.07938,0.5959,0.51262,0.60818,0.46685,0.71669,1.90687,1.08995,0.000615379,0.000615379,0.000615379
4,87.5189,0.75917,1.15411,1.07257,0.66058,0.70229,0.74094,0.60762,0.67777,1.36086,1.05369,0.000612625,0.000612625,0.000612625
5,108.486,0.71736,0.99202,1.05336,0.72025,0.73692,0.80147,0.66208,0.69227,1.00325,1.06386,0.0006085,0.0006085,0.0006085
6,129.472,0.7031,0.9339,1.04506,0.76626,0.8342,0.85756,0.7282,0.62162,0.7876,1.00678,0.000604375,0.000604375,0.000604375
7,150.523,0.67911,0.88958,1.04282,0.77122,0.74852,0.83873,0.71271,0.6219,0.89776,1.01155,0.00060025,0.00060025,0.00060025
8,171.435,0.65901,0.83019,1.02873,0.76151,0.8275,0.88372,0.76037,0.62354,0.78836,0.98365,0.000596125,0.000596125,0.000596125
9,192.959,0.64354,0.80197,1.01796,0.7072,0.7514,0.75553,0.66355,0.55097,1.12615,0.97072,0.000592,0.000592,0.000592
10,213.92,0.62843,0.74765,1.00546,0.84339,0.76157,0.87106,0.76846,0.54562,0.69827,0.95476,0.000587875,0.000587875,0.000587875
11,234.99,0.63095,0.74169,1.00823,0.77249,0.81362,0.88247,0.77871,0.51716,0.80106,0.93913,0.00058375,0.00058375,0.00058375
12,256.387,0.61038,0.67495,0.99746,0.83468,0.74146,0.87363,0.77033,0.55078,0.80034,0.93923,0.000579625,0.000579625,0.000579625
13,277.189,0.60737,0.65795,0.994,0.88389,0.84087,0.92565,0.81075,0.54962,0.61458,0.96396,0.0005755,0.0005755,0.0005755
14,298.293,0.58289,0.63674,0.99562,0.8355,0.79449,0.88619,0.78753,0.51541,0.7041,0.94327,0.000571375,0.000571375,0.000571375
15,319.368,0.58884,0.62532,0.99572,0.84908,0.81658,0.89418,0.78612,0.56416,0.69293,0.96647,0.00056725,0.00056725,0.00056725
16,340.309,0.57683,0.58726,0.98685,0.85568,0.8659,0.92495,0.81999,0.50562,0.5806,0.92687,0.000563125,0.000563125,0.000563125
